ship,fandom,genre,relType,isCanon,isRPF,totalWorks
David Jacobs/Jack Kelly,Newsies!: the Musical - Fierstein/Menken,Slice of Life,M/M,No,No,2713
Daycare Attendant & Reader,Five Nights at Freddy's,Video Game,XReader,No,XReader,1603
Daycare Attendant/Reader,Five Nights at Freddy's,Video Game,XReader,No,XReader,3009
Dazai Osamu & Kunikida Doppo,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1677
Dazai Osamu & Mori Ougai,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1236
Dazai Osamu & Nakahara Chuuya,Bungou Stray Dogs,Fantasy,Gen,Yes,No,8331
Dazai Osamu & Nakajima Atsushi,Bungou Stray Dogs,Fantasy,Gen,Yes,No,2711
Dazai Osamu & Oda Sakunosuke,Bungou Stray Dogs,Fantasy,Gen,Yes,No,1907
Dazai Osamu/Fyodor Dostoyevsky,Bungou Stray Dogs,Fantasy,M/M,No,No,1512
Dazai Osamu/Kunikida Doppo,Bungou Stray Dogs,Fantasy,M/M,No,No,2462
Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,Fantasy,M/M,No,No,32716
Dazai Osamu/Nakajima Atsushi,Bungou Stray Dogs,Fantasy,M/M,No,No,2537
Dazai Osamu/Oda Sakunosuke,Bungou Stray Dogs,Fantasy,M/M,No,No,1922
Dazai Osamu/Reader,Bungou Stray Dogs,Fantasy,XReader,No,XReader,1156
Dean Ambrose | Jon Moxley/Seth Rollins | Tyler Black,World Wrestling Entertainment,Sports RPF,M/M,No,Yes,1708
Dean Winchester & Sam Winchester,Supernatural,Fantasy,Gen,Yes,No,15038
Dean Winchester & You,Supernatural,Fantasy,XReader,No,XReader,1284
Dean Winchester/Lisa Braeden,Supernatural,Fantasy,F/M,Yes,No,1456
Dean Winchester/Original Character(s),Supernatural,Fantasy,Original,No,No,6159
Dean Winchester/Original Female Character(s),Supernatural,Fantasy,F/M,No,No,4749
Dean Winchester/Original Male Character(s),Supernatural,Fantasy,M/M,No,No,1074
Dean Winchester/Other(s),Supernatural,Fantasy,Other,No,No,1280
Dean Winchester/Reader,Supernatural,Fantasy,XReader,No,XReader,6437
Dean Winchester/Sam Winchester,Supernatural,Fantasy,M/M,No,No,31002
Dean Winchester/You,Supernatural,Fantasy,XReader,No,XReader,8916
Deceit | Janus Sanders/Morality | Patton Sanders,Sanders Sides,Slice of Life,M/M,No,No,1239
"Dee Laytner/Randy ""Ryo"" MacLean",Fake,Romance,M/M,Yes,No,1306
Delphine Cormier/Cosima Niehaus,Orphan Black,Science Fiction,F/F,Yes,No,1604
Denmark/Norway,Hetalia: Axis Powers,Historical,M/M,No,No,1435
"Derek ""Nursey"" Nurse/ William ""Dex"" Poindexter",Check Please!,Sports,M/M,No,No,2086
Derek Hale & Stiles Stilinski,Teen Wolf,Fantasy,Gen,Yes,No,3438
Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,M/M,No,No,64469
Derek Morgan & Spencer Reid,Criminal Minds,Crime,Gen,Yes,No,1176
Derek Morgan/Spencer Reid,Criminal Minds,Crime,M/M,No,No,3485
Dexter Grif/Dick Simmons,Red vs. Blue,Science Fiction,M/M,No,No,1773
"Diana Cavendish/Atsuko ""Akko"" Kagari",Little Witch Academia,Fantasy,F/F,No,No,1958
Diana/Bruce Wayne,Batman - All Media Types,Superhero,F/M,Semi-Canon,No,1194
Diana/Steve Trevor,Batman - All Media Types,Superhero,F/M,Yes,No,1264
Dib/Zim,Invader ZIM,Science Fiction,M/M,No,No,1835
Dick Grayson & Bruce Wayne,Batman - All Media Types,Superhero,Gen,Yes,No,6613
Dick Grayson & Damian Wayne,Batman - All Media Types,Superhero,Gen,Yes,No,4796
Dick Grayson & Jason Todd,Batman - All Media Types,Superhero,Gen,Yes,No,7743
Dick Grayson & Wally West,Batman - All Media Types,Superhero,Gen,Yes,No,1087
Dick Grayson/Bruce Wayne,Batman - All Media Types,Superhero,M/M,No,No,2812
Dick Grayson/Damian Wayne,Batman - All Media Types,Superhero,M/M,No,No,1264
Dick Grayson/Jason Todd,Batman - All Media Types,Superhero,M/M,No,No,8008
Dick Grayson/Koriand'r,Batman - All Media Types,Superhero,F/M,Yes,No,2942
Dick Grayson/Robin,Batman - All Media Types,Superhero,M/M,No,No,5845
Dick Grayson/Slade Wilson,Batman - All Media Types,Superhero,M/M,No,No,2472
Dick Grayson/Wally West,Batman - All Media Types,Superhero,M/M,No,No,3753
Diego Hargreeves & Klaus Hargreeves,The Umbrella Academy,Science Fiction,Gen,Yes,No,1387
Diluc & Kaeya,Genshin Impact,Video Game,Gen,Yes,No,6243
Diluc/Jean,Genshin Impact,Video Game,F/M,No,No,1259
Diluc/Kaeya,Genshin Impact,Video Game,M/M,No,No,6910
Diluc/Reader,Genshin Impact,Video Game,XReader,No,XReader,2013
Diluc/Tartaglia | Childe,Genshin Impact,Video Game,M/M,No,No,2207
Diluc/Venti,Genshin Impact,Video Game,M/M,No,No,1015
Dimitri Alexandre Blaiddyd/Claude von Riegan,Fire Emblem,Video Game,M/M,No,No,1791
Dimitri Alexandre Blaiddyd/Felix Hugo Fraldarius,Fire Emblem,Video Game,M/M,No,No,2336
Dimitri Alexandre Blaiddyd/My Unit | Byleth,Fire Emblem,Video Game,Other,Semi-Canon,No,3602
Din Djarin & Grogu | Baby Yoda,Star Wars,Science Fiction,Gen,Yes,No,2755
Din Djarin/Cobb Vanth,Star Wars,Science Fiction,M/M,No,No,1139
Din Djarin/Luke Skywalker,Star Wars,Science Fiction,M/M,No,No,2779
Din Djarin/Original Character(s),Star Wars,Science Fiction,Original,No,No,1440
Din Djarin/Original Female Character(s),Star Wars,Science Fiction,F/M,No,No,1253
Din Djarin/Reader,Star Wars,Science Fiction,XReader,No,XReader,3690
Din Djarin/You,Star Wars,Science Fiction,XReader,No,XReader,3724
Dina/Ellie,The Last of Us,Science Fiction,F/F,Yes,No,1786
Dio Brando/Jonathan Joestar,Phantom Blood,Fantasy,M/M,No,No,2438
Dipper Pines & Mabel Pines,Gravity Falls,Fantasy,Gen,Yes,No,1606
Do Kyungsoo | D.O/Kim Jongin | Kai,EXO (Band),K-Pop,M/M,No,Yes,6394
Do Kyungsoo | D.O/Park Chanyeol,EXO (Band),K-Pop,M/M,No,Yes,2885
"Dominick ""Sonny"" Carisi Jr./Amanda Rollins",Law & Order: SVU,Crime,F/M,Yes,No,2193
Donatello & Leonardo,TMNT,Superhero,Gen,Yes,No,2504
Donatello & Leonardo & Michelangelo & Raphael,TMNT,Superhero,Gen,Yes,No,5090
Donatello & Michelangelo,TMNT,Superhero,Gen,Yes,No,1777
Donatello & Raphael,TMNT,Superhero,Gen,Yes,No,1287
Donatello/Leonardo,TMNT,Superhero,M/M,No,No,1055
Dong Si Cheng | WinWin/Nakamoto Yuta,NCT (Band),K-Pop,M/M,No,Yes,1654
Donna Paulsen/Harvey Specter,Suits,Slice of Life,F/M,Yes,No,1449
"Donquixote ""Corazon"" Rosinante & Trafalgar D. Water Law",One Piece,Fantasy,Gen,No,No,1084
Dorian Pavus/Cullen Rutherford,Dragon Age,Video Game,M/M,No,No,1293
Dorian Pavus/Male Trevelyan,Dragon Age,Video Game,M/M,Yes,No,1172
Dorian Pavus/Trevelyan,Dragon Age,Video Game,Other,Yes,No,1237
Draco Malfoy & Harry Potter,Harry Potter - J. K. Rowling,Fantasy,Gen,Yes,No,4101
Draco Malfoy/Ginny Weasley,Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,1870
Draco Malfoy/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,M/M,No,No,64661
Draco Malfoy/Original Character(s),Harry Potter - J. K. Rowling,Fantasy,Original,No,No,3103
Draco Malfoy/Original Female Character(s),Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,2364
Draco Malfoy/Pansy Parkinson,Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,1232
Draco Malfoy/Reader,Harry Potter - J. K. Rowling,Fantasy,XReader,No,XReader,1477
Draco Malfoy/Ron Weasley,Harry Potter - J. K. Rowling,Fantasy,M/M,No,No,1847
Draco Malfoy/Theodore Nott,Harry Potter - J. K. Rowling,Fantasy,M/M,No,No,1096
Draco Malfoy/You,Harry Potter - J. K. Rowling,Fantasy,XReader,No,XReader,1528
Dream of the Endless | Morpheus/Hob Gadling,The Sandman (TV 2022),Fantasy,M/M,No,No,4246
Dream SMP Ensemble & TommyInnit,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1024
Drift | Deadlock/Ratchet,Transformers,Science Fiction,M/M,No,No,1638
Duo Maxwell/Heero Yuy,Gundam Wing,Science Fiction,M/M,No,No,2491
Dwalin/Ori,The Hobbit,Fantasy,M/M,No,No,1185
E. Aster Bunnymund/Jack Frost,Rise of the Guardians (2012),Fantasy,M/M,No,No,1168
Eda Clawthorne & Lilith Clawthorne,The Owl House,Fantasy,Gen,Yes,No,1002
Eda Clawthorne & Luz Noceda,The Owl House,Fantasy,Gen,Yes,No,2187
Eda Clawthorne/Raine Whispers,The Owl House,Fantasy,Other,Yes,No,3916
Eddie Brock/Venom Symbiote,Venom (Movie 2018),Superhero,M/M,No,No,4196
Eddie Kaspbrak & Richie Tozier,IT,Thriller,Gen,Yes,No,2628
Eddie Kaspbrak/Richie Tozier,IT,Thriller,M/M,Semi-Canon,No,15057
Eddie Munson & Reader,Stranger Things,Thriller,XReader,No,XReader,1561
Eddie Munson/Original Character(s),Stranger Things,Thriller,Original,No,No,1580
Eddie Munson/Original Female Character(s),Stranger Things,Thriller,F/M,Yes,No,1214
Eddie Munson/Reader,Stranger Things,Thriller,XReader,No,XReader,3865
Eddie Munson/You,Stranger Things,Thriller,XReader,No,XReader,4419
Eddy Chen & Brett Yang,TwoSet Violin,Youtube RPF,Gen,Yes,Yes,1109
Eddy Chen/Brett Yang,TwoSet Violin,Youtube RPF,M/M,No,Yes,3228
Edelgard von Hresvelg/My Unit | Byleth,Fire Emblem,Video Game,Other,Semi-Canon,No,2911
Edogawa Ranpo/Edgar Allan Poe,Bungou Stray Dogs,Fantasy,M/M,No,No,3873
Eduardo Saverin/Mark Zuckerberg,The Social Network,Celebrity RPF,M/M,No,Yes,2171
Edward Cullen/Bella Swan,Twilight Series - Stephenie Meyer,Romance,F/M,Yes,No,4570
Edward Elric & Roy Mustang,Fullmetal Alchemist - All Media Types,Fantasy,Gen,Yes,No,1398
Edward Elric/Roy Mustang,Fullmetal Alchemist - All Media Types,Fantasy,M/M,No,No,4089
Edward Elric/Winry Rockbell,Fullmetal Alchemist - All Media Types,Fantasy,F/M,Yes,No,2531
Edward Nygma/Bruce Wayne,The Batman (Movie 2022),Superhero,M/M,No,No,1419
Edwin Paine | Edwin Payne/Charles Rowland,Dead Boy Detectives,Crime,M/M,Semi-Canon,No,1318
Eileen Leahy/Sam Winchester,Supernatural,Fantasy,F/M,Yes,No,3882
Ekko/Jinx,Arcane: League of Legends (Cartoon 2021),Fantasy,F/M,Semi-Canon,No,1033
Elain Archeron/Azriel,A Court of Thorns and Roses Series - Sarah J. Maas,Fantasy,F/M,Semi-Canon,No,1446
Elain Archeron/Lucien Vanserra,A Court of Thorns and Roses Series - Sarah J. Maas,Fantasy,F/M,Yes,No,1474
Eleanor Calder/Louis Tomlinson,One Direction (Band),Western Artist,F/M,Yes,Yes,1151
Elena Gilbert/Damon Salvatore,The Vampire Diaries,Romance,F/M,Yes,No,1972
Elena Gilbert/Stefan Salvatore,The Vampire Diaries,Romance,F/M,Yes,No,1329
Eleven | Jane Hopper & Mike Wheeler,Stranger Things,Thriller,Gen,Yes,No,1373
"Eleven | Jane Hopper/Maxine ""Max"" Mayfield",Stranger Things,Thriller,F/F,No,No,1963
Eleven | Jane Hopper/Mike Wheeler,Stranger Things,Thriller,F/M,Yes,No,5915
Eleventh Doctor/River Song,Doctor Who,Science Fiction,F/M,Yes,No,6057
Elia Martell/Rhaegar Targaryen,Game of Thrones,Fantasy,F/M,Yes,No,1022
"Elias Bouchard | Jonah Magnus/Jonathan ""Jon"" Sims | The Archivist",The Magnus Archives (Podcast),Thriller,M/M,No,No,1211
Elias Bouchard | Jonah Magnus/Peter Lukas,The Magnus Archives (Podcast),Thriller,M/M,No,No,1379
Elias Bouchard/Peter Lukas,The Magnus Archives (Podcast),Thriller,M/M,No,No,1099
Eliott Demaury/Lucas Lallemant,SKAM (France),Slice of Life,M/M,Yes,No,1793
Elizabeth Bennet/Fitzwilliam Darcy,Pride and Prejudice,Romance,F/M,Yes,No,2407
Elizabeth Burke/Peter Burke,White Collar,Slice of Life,F/M,Yes,No,1514
Elizabeth Burke/Peter Burke/Neal Caffrey,White Collar,Slice of Life,Multi,No,No,1157
Elizabeth Keen/Raymond Reddington,The Blacklist,Crime,F/M,No,No,1654
Ellie & Joel,The Last of Us,Science Fiction,Gen,Yes,No,3433
Ellie Bishop/Nick Torres,NCIS,Crime,F/M,Yes,No,1670
Emet-Selch/Warrior of Light,Final Fantasy XIV,Video Game,Other,No,No,2672
Emma/Norman,The Promised Neverland,Fantasy,F/M,Semi-Canon,No,1129
Emmett Cullen/Rosalie Hale,Twilight Series - Stephenie Meyer,Romance,F/M,Yes,No,2078
Emori/John Murphy,The 100,Science Fiction,F/M,Yes,No,1257
England /France,Hetalia: Axis Powers,Historical,M/M,No,No,4600
England/France,Hetalia: Axis Powers,Historical,M/M,No,No,4845
Enjolras/Grantaire,Les Misérables - All Media Types,Historical,M/M,Semi-Canon,No,11651
Ennoshita Chikara/Tanaka Ryuunosuke,Haikyuu!!,Sports,M/M,No,No,1179
Entrapta/Hordak,She-Ra and the Princesses of Power (2018),Fantasy,F/M,Yes,No,1448
Éowyn/Faramir,Lord of the Rings,Fantasy,F/M,Yes,No,1055
Eren Yeager/Reader,Shingeki NoKyojin | Attack on Titan,Fantasy,XReader,No,XReader,2269
Eren Yeager/You,Shingeki NoKyojin | Attack on Titan,Fantasy,XReader,No,XReader,2288
Erestor/Glorfindel,Lord of the Rings,Fantasy,M/M,No,No,1197
Eri & Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,Gen,Yes,No,2272
"Eric ""Bitty"" Bittle/Jack Zimmermann",Check Please!,Sports,M/M,Yes,No,4620
Eridan Ampora/Sollux Captor,Homestuck,Science Fiction,M/M,No,No,1973
Erik Lehnsherr & Charles Xavier,X-Men (Alternate Timeline Movies),Superhero,Gen,Yes,No,1261
Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),Superhero,M/M,No,No,16587
Erin Gilbert/Jillian Holtzmann,Ghostbusters (2016),Fantasy,F/F,Semi-Canon,No,1364
Erwin Smith/Reader,Shingeki NoKyojin | Attack on Titan,Fantasy,XReader,No,XReader,1057
Espresso Cookie/Madeleine Cookie,Cookie Run,Video Game,M/M,No,No,1053
Essek Thelyss/Caleb Widogast,Critical Role,Video Game,M/M,Yes,No,3336
Ethan Ramsey/Main Character,Open Heart,Video Game,Other,Yes,No,1042
Ethan/Danny Māhealani,Teen Wolf,Fantasy,M/M,Yes,No,1215
Eugene Fitzherbert | Flynn Rider/Rapunzel,Tangled,Fantasy,F/M,Yes,No,2619
Eustass Kid/Trafalgar D. Water Law,One Piece,Fantasy,M/M,No,No,1290
"Evan ""Buck"" Buckley & Bobby Nash",9-1-2001,Crime,Gen,Yes,No,1846
"Evan ""Buck"" Buckley & Christopher Diaz",9-1-2001,Crime,Gen,Yes,No,1993
"Evan ""Buck"" Buckley & Christopher Diaz & Eddie Diaz",9-1-2001,Crime,Gen,Yes,No,1584
"Evan ""Buck"" Buckley & Eddie Diaz",9-1-2001,Crime,Gen,Yes,No,3697
"Evan ""Buck"" Buckley & Firehouse 118 Crew",9-1-2001,Crime,Gen,Yes,No,1013
"Evan ""Buck"" Buckley & Maddie Buckley",9-1-2001,Crime,Gen,Yes,No,1917
"Evan ""Buck"" Buckley/Eddie Diaz",9-1-2001,Crime,M/M,No,No,23954
"Evan ""Buck"" Buckley/Tommy Kinard",9-1-2001,Crime,M/M,Yes,No,2896
Evan Hansen/Connor Murphy,Dear Evan Hansen,Slice of Life,M/M,No,No,2813
Evan Hansen/Jared Kleinman,Dear Evan Hansen,Slice of Life,M/M,No,No,1104
Eve Polastri/Villanelle | Oksana Astankova,Killing Eve,Thriller,F/F,Yes,No,3754
Even Bech Næsheim/Isak Valtersen,SKAM (Norway),Slice of Life,M/M,Yes,No,5134
Evie/Mal,Descendants,Fantasy,F/F,No,No,1071
Evil Queen | Regina Mills/Emma Swan,Once Upon a Time (TV),Fantasy,F/F,No,No,15012
Evil Queen | Regina Mills/Robin Hood,Once Upon a Time (TV),Fantasy,F/M,Yes,No,3953
Ezra Bridger & Kanan Jarrus,Star Wars Rebels,Science Fiction,Gen,Yes,No,1171
Faith Lehane/Buffy Summers,Buffy the Vampire Slayer,Fantasy,F/F,No,No,1524
"Fareeha ""Pharah"" Amari/Angela ""Mercy"" Ziegler",Overwatch,Video Game,F/F,Semi-Canon,No,2646
Fay D. Fluorite/Kurogane,Tsubasa: Reservoir Chronicle,Romance,M/M,No,No,1497
Felix Hugo Fraldarius/Sylvain Jose Gautier,Fire Emblem,Video Game,M/M,No,No,4032
Félix Madrigal/Pepa Madrigal,Encanto,Fantasy,F/M,Yes,No,2306
Female Inquisitor/Cullen Rutherford,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,8062
Female Inquisitor/Iron Bull,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,1024
Female Inquisitor/Solas,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,6346
Female Inquisitor/The Iron Bull,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,1081
Female Lavellan/Cullen Rutherford,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,2397
Female Lavellan/Solas,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,5498
Female Mage Inquisitor/Cullen Rutherford,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,1594
Female Mage Lavellan/Solas,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,3773
Female Rogue Lavellan/Solas,Dragon Age: Inquisition,Video Game,F/M,Semi-Canon,No,3773
Female Shepard/Garrus Vakarian,Mass Effect,Video Game,F/M,Yes,No,5334
Female Shepard/Liara T'Soni,Mass Effect,Video Game,F/F,No,No,1856
Fēng Xìn/Mù Qíng,Tiān Guān Cì Fú - Mòxiāng Tóngxiù,Fantasy,M/M,No,No,3744
Fenris/Female Hawke,Dragon Age II,Video Game,F/M,Semi-Canon,No,2853
Fenris/Female Mage Hawke,Dragon Age II,Video Game,F/M,Semi-Canon,No,1861
Fenris/Hawke,Dragon Age II,Video Game,Other,Semi-Canon,No,5390
Fenris/Male Hawke,Dragon Age II,Video Game,M/M,Semi-Canon,No,2229
Fenris/Male Mage Hawke,Dragon Age II,Video Game,M/M,Semi-Canon,No,1641
Ferdinand von Aegir/Hubert von Vestra,Fire Emblem,Video Game,M/M,No,No,2672
Feyre Archeron/Rhysand,A Court of Thorns and Roses Series - Sarah J. Maas,Fantasy,F/M,Yes,No,3776
Fezco/Lexi Howard,Euphoria,Slice of Life,F/M,Yes,No,1431
Fíli/Kíli,The Hobbit - All Media Types,Fantasy,M/M,No,No,2677
Fingon | Findekáno/Maedhros | Maitimo,The Lord of the Rings,Fantasy,M/M,No,No,2479
Fingon/Maedhros,Lord of the Rings,Fantasy,M/M,No,No,2587
Finland/Sweden,Hetalia: Axis Powers,Historical,M/M,Semi-Canon,No,1441
Finn & Rey,Star Wars,Science Fiction,Gen,Yes,No,1367
Finn/Rey,Star Wars,Science Fiction,F/M,no,No,2066
Finn/Rose Tico,Star Wars,Science Fiction,F/M,Semi-Canon,No,1331
Fleur Delacour/Bill Weasley,Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,2216
Fleur Delacour/Hermione Granger,Harry Potter - J. K. Rowling,Fantasy,F/F,No,No,1369
Floris | Fundy & Wilbur Soot,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1109
Ford Pines & Stan Pines,Gravity Falls,Fantasy,Gen,Yes,No,1876
Four & Hyrule & Legend & Sky & Time & Twilight & Warriors & Wild & Wind (Linked Universe),The Legend of Zelda,Video Game,Gen,Yes,No,1855
Fox Mulder & Dana Scully,The X-Files,Science Fiction,Gen,Yes,No,2443
Fox Mulder/Dana Scully,The X-Files,Science Fiction,F/M,Yes,No,14204
Francis Crozier/James Fitzjames,The Terror,Thriller,M/M,No,No,1516
Frank Castle/Karen Page,The Punisher,Superhero,F/M,Semi-Canon,No,2020
Frank Castle/Matt Murdock,The Punisher,Superhero,M/M,No,No,1795
Frank Iero/Gerard Way,My Chemical Romance (Band),Western Artist,M/M,No,Yes,12292
Franky/Nico Robin,Straw Hat Pirates,Fantasy,F/M,No,No,1142
Fred Weasley/Original Female Character(s),Harry Potter - J. K. Rowling,Fantasy,F/M,No,No,1146
Frisk & Sans,Undertale,Video Game,Gen,Yes,No,1168
Frisk/Sans,Undertale,Video Game,Other,No,No,1675
Frodo Baggins/Sam Gamgee,The Hobbit,Fantasy,M/M,No,No,2450
Fuji Shuusuke/Tezuka Kunimitsu,Prince of Tennis,Sports,M/M,No,No,1500
Fukatsu Kazunari/Sawakita Eiji,Slam Dunk,Sports,M/M,No,No,1529
Fukazawa Tatsuya/Iwamoto Hikaru,Snow Man (Band),Celebrity RPF,M/M,No,Yes,1151
Fukuzawa Yukichi/Mori Ougai,Bungou Stray Dogs,Fantasy,M/M,No,No,1171
Fulgur Ovid/Uki Violeta,Nijisanji,Youtube RPF,M/M,No,No,1268
Fundy & Wilbur Soot,Youtube RPF,Youtube RPF,Gen,Yes,Yes,1937
Furina/Neuvillette,Genshin Impact,Video Game,F/M,No,No,1451
Fushichou Marco | Phoenix Marco/Portgas D. Ace,One Piece,Fantasy,M/M,No,No,2453
Fushiguro Megumi & Gojo Satoru,Jujutsu Kaisen,Fantasy,Gen,Yes,No,2073
Fushiguro Megumi & Itadori Yuuji,Jujutsu Kaisen,Fantasy,Gen,Yes,No,1292
Fushiguro Megumi & Itadori Yuuji & Kugisaki Nobara,Jujutsu Kaisen,Fantasy,Gen,Yes,No,1620
Fushiguro Megumi/Gojo Satoru,Jujutsu Kaisen,Fantasy,M/M,No,No,3432
Fushiguro Megumi/Itadori Yuuji,Jujutsu Kaisen,Fantasy,M/M,No,No,6639
Fushiguro Megumi/Sukuna | Ryoumen Sukuna,Jujutsu Kaisen,Fantasy,M/M,No,No,3658
Fushiguro Toji/Gojo Satoru,Jujutsu Kaisen,Fantasy,M/M,No,No,1004
Fushiguro Toji/Reader,Jujutsu Kaisen,Fantasy,XReader,No,XReader,1663
Fushiguro Toji/You,Jujutsu Kaisen,Fantasy,XReader,No,XReader,1724
Fushimi Saruhiko/Yata Misaki,K Project,Fantasy,M/M,Semi-Canon,No,1255
Fyodor Dostoyevsky/Nikolai Gogol,Bungou Stray Dogs,Fantasy,M/M,No,No,3106
G'raha Tia | Crystal Exarch/Warrior of Light,Final Fantasy XIV,Video Game,Other,No,No,3184
Gaara/Rock Lee,Naruto,Fantasy,M/M,No,No,1251
Gabriel Agreste | Papillon | Hawk Moth/Nathalie Sancoeur,Miraculous Ladybug,Superhero,F/M,Semi-Canon,No,1678
Gabriel Agreste/Nathalie Sancoeur,Miraculous Ladybug,Superhero,F/M,No,No,1714
Gabriel/Sam Winchester,Supernatural,Fantasy,M/M,No,No,13660
Gabriel/You,Supernatural,Fantasy,XReader,No,XReader,1250
Gabrielle/Xena,Xena: Warrior Princess,Fantasy,F/F,Yes,No,1085
Gale/Original Character(s),Baldur's Gate 3,Video Game,Original,No,No,1715
Gale/Original Female Character(s),Baldur's Gate 3,Video Game,F/M,Semi-Canon,No,1243
Gale/Tav,Baldur's Gate 3,Video Game,Other,Semi-Canon,No,2765
Gamora/Peter Quill,Marvel Cinematic Universe,Superhero,F/M,Yes,No,2074
Gamzee Makara/Karkat Vantas,Homestuck,Science Fiction,M/M,No,No,1355
Gamzee Makara/Tavros Nitram,Homestuck,Science Fiction,M/M,Semi-Canon,No,1415
Ganyu/Keqing,Genshin Impact,Video Game,F/F,No,No,1571
Gāo Yáng/Huáng Zǐhóngfán,Super-Vocal (TV),Celebrity RPF,M/M,No,Yes,1245
Garcia Flynn/Lucy Preston,Timeless,Science Fiction,F/M,No,No,1338
Garfield Logan/Raven,Teen Titans,Superhero,F/M,Yes,No,1479
Garyuu Kyouya | Klavier Gavin/Odoroki Housuke | Apollo Justice,Gyakuten Saiban | Ace Attorney,Video Game,M/M,No,No,3672
Gavin Free/Michael Jones,Rooster Teeth/Achievement Hunter RPF,Youtube RPF,M/M,No,Yes,3249
Gavin Free/Ryan Haywood,Rooster Teeth/Achievement Hunter RPF,Youtube RPF,M/M,No,Yes,1626
Gavin Free/Ryan Haywood/Michael Jones/Ray Narvaez Jr./Jack Pattillo/Geoff Ramsey,Rooster Teeth/Achievement Hunter RPF,Youtube RPF,M/M,No,Yes,1068
Gendry/Arya Stark,Game of Thrones,Fantasy,F/M,Yes,No,5864
Gene Hunt/Sam Tyler,Life on Mars,Crime,M/M,No,No,1067
Genji Shimada/Tekhartha Zenyatta,Overwatch,Video Game,M/M,No,No,1246
Genos/Saitama,One-Punch Man,Superhero,M/M,No,No,2466
George Harrison/Ringo Starr,Beatles RPF,Western Artist,M/M,No,Yes,1058
GeorgeNotFound & Sapnap,YouTube RPF,Youtube RPF,Gen,Yes,Yes,2030
GeorgeNotFound/Sapnap,YouTube RPF,Youtube RPF,M/M,No,Yes,2576
Georgie Barker/Melanie King,The Magnus Archives,Thriller,F/F,Yes,No,1010
Geralt z Rivii | Geralt of Rivia & Jaskier | Dandelion,The Witcher (TV),Fantasy,Gen,Yes,No,3941
Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion,The Witcher (TV),Fantasy,Multi,No,No,19102
Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion/Yennefer z Vengerbergu | Yennefer of Vengerberg,The Witcher (TV),Fantasy,Multi,No,No,19274
Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion/Yennefer z Vengerbergu | Yennefer of Vengerberg/Yennefer z Vengerbergu | Yennefer of Vengerberg,The Witcher (TV),Fantasy,Multi,No,No,1087
Geralt z Rivii | Geralt of Rivia/Yennefer z Vengerbergu | Yennefer of Vengerberg,The Witcher (TV),Fantasy,F/M,Yes,No,2662
Germany/North Italy,Hetalia: Axis Powers,Historical,M/M,Semi-Canon,No,3091
Gerri Kellman/Roman Roy,Succession,Slice of Life,F/M,No,No,1481
Getou Suguru & Gojo Satoru,Jujutsu Kaisen,Fantasy,Gen,Yes,No,3058
Getou Suguru & Gojo Satoru & Ieiri Shoko,Jujutsu Kaisen,Fantasy,Gen,Yes,No,1385
Getou Suguru/Gojo Satoru,Jujutsu Kaisen,Fantasy,M/M,No,No,15265
Getou Suguru/Reader,Jujutsu Kaisen,Fantasy,XReader,No,XReader,2139
Getou Suguru/You,Jujutsu Kaisen,Fantasy,XReader,No,XReader,2217
Gideon Nav/Harrowhark Nonagesimus,The Locked Tomb Series | Gideon the Ninth Series - Tamsyn Muir,Fantasy,F/F,No,No,2386
Gilbert Blythe/Anne Shirley,Anne of Green Gables,Slice of Life,F/M,Yes,No,2347
Gilbert du Motier Marquis de Lafayette/Hercules Mulligan,Hamilton – Miranda,Historical,M/M,No,No,1569
Gimli/Legolas Greenleaf,The Lord of the Rings,Fantasy,M/M,No,No,2108
Ginny Weasley/Blaise Zabini,Harry Potter - J. K. Rowling,Fantasy,F/F,No,No,1301
GiorNoGiovanna/Guido Mista,Jojo's Bizarre Adventure,Fantasy,M/M,No,No,3318
Gladiolus Amicitia & Prompto Argentum & Noctis Lucis Caelum & Ignis Scientia,Final Fantasy XV,Video Game,Gen,Yes,No,1111
